"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "Markdown", "CSS", "XML", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Button\Button.jsx", "JavaScript JSX", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Button\Button.module.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Button\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Copyright\Copyright.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Copyright\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\FormDialog\FormDialogCategory.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 7, 74
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\FormDialog\FormDialogCustomer.jsx", "JavaScript JSX", 0, 0, 76, 0, 0, 0, 0, 0, 7, 83
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\FormDialog\FormDialogDishes.jsx", "JavaScript JSX", 0, 0, 110, 0, 0, 0, 0, 25, 6, 141
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\FormDialog\FormDialogEmployee.jsx", "JavaScript JSX", 0, 0, 100, 0, 0, 0, 0, 0, 7, 107
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Form\FormInput\FormInput.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Form\FormInput\FormInput.module.css", "CSS", 0, 0, 0, 0, 0, 37, 0, 0, 6, 43
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Form\FormInput\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Loader\Loader.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Loader\Loader.module.css", "CSS", 0, 0, 0, 0, 0, 29, 0, 0, 2, 31
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\Loader\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\SelectFilter\SelectFilter.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\SelectFilter\index.jsx", "JavaScript JSX", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Components\User\Cards\Cards.jsx", "JavaScript JSX", 0, 0, 62, 0, 0, 0, 0, 0, 3, 65
