"filename", "language", "HTML", "JavaScript JSX", "JSON", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\CategoryContext.jsx", "JavaScript JSX", 0, 61, 0, 0, 0, 0, 10, 13, 84
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\CommonContext.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\DishesContext.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 0, 0, 14, 99
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\EmployeesContext.jsx", "JavaScript JSX", 0, 56, 0, 0, 0, 0, 0, 11, 67
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Contexts\UsersContext.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 11, 65
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutAdmin\DefaultLayoutAdmin.jsx", "JavaScript JSX", 0, 169, 0, 0, 0, 0, 6, 10, 185
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutAdmin\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutUser\DefaultLayoutUser.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 1, 2, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutUser\DefaultLayoutUser.module.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\DefaultLayout\DefaultLayoutUser\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\GlobalStyles\GlobalStyles.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\AdminDashboard\AdminDashboard.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 5, 5, 50
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\client\src\Pages\Admin\AdminDashboard\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 1, 2
