"filename", "language", "HTML", "Markdown", "JavaScript", "JSON", "PHP", "JavaScript JSX", "CSS", "XML", "Properties", "comment", "blank", "total"
"c:\xampp\htdocs\restaurants_php\server\app\Models\Product.php", "PHP", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\xampp\htdocs\restaurants_php\server\app\Models\Reservation.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\xampp\htdocs\restaurants_php\server\app\Models\Review.php", "PHP", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"c:\xampp\htdocs\restaurants_php\server\app\Models\Role.php", "PHP", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"c:\xampp\htdocs\restaurants_php\server\app\Models\Table.php", "PHP", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\xampp\htdocs\restaurants_php\server\app\Models\User.php", "PHP", 0, 0, 0, 0, 35, 0, 0, 0, 0, 16, 8, 59
"c:\xampp\htdocs\restaurants_php\server\app\Providers\AppServiceProvider.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 0, 8, 5, 25
"c:\xampp\htdocs\restaurants_php\server\app\Providers\AuthServiceProvider.php", "PHP", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11, 5, 27
"c:\xampp\htdocs\restaurants_php\server\app\Providers\BroadcastServiceProvider.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 5, 20
"c:\xampp\htdocs\restaurants_php\server\app\Providers\EventServiceProvider.php", "PHP", 0, 0, 0, 0, 21, 0, 0, 0, 0, 12, 6, 39
"c:\xampp\htdocs\restaurants_php\server\app\Providers\RouteServiceProvider.php", "PHP", 0, 0, 0, 0, 24, 0, 0, 0, 0, 10, 7, 41
"c:\xampp\htdocs\restaurants_php\server\bootstrap\app.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 30, 9, 56
"c:\xampp\htdocs\restaurants_php\server\composer.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"c:\xampp\htdocs\restaurants_php\server\composer.lock", "JSON", 0, 0, 0, 9385, 0, 0, 0, 0, 0, 0, 1, 9386
"c:\xampp\htdocs\restaurants_php\server\config\app.php", "PHP", 0, 0, 0, 0, 30, 0, 0, 0, 0, 130, 31, 191
"c:\xampp\htdocs\restaurants_php\server\config\auth.php", "PHP", 0, 0, 0, 0, 52, 0, 0, 0, 0, 74, 15, 141
"c:\xampp\htdocs\restaurants_php\server\config\broadcasting.php", "PHP", 0, 0, 0, 0, 36, 0, 0, 0, 0, 23, 13, 72
"c:\xampp\htdocs\restaurants_php\server\config\cache.php", "PHP", 0, 0, 0, 0, 59, 0, 0, 0, 0, 34, 19, 112
"c:\xampp\htdocs\restaurants_php\server\config\cloudinary.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 30, 8, 44
"c:\xampp\htdocs\restaurants_php\server\config\cors.php", "PHP", 0, 0, 0, 0, 3, 0, 0, 0, 0, 29, 3, 35
"c:\xampp\htdocs\restaurants_php\server\config\database.php", "PHP", 0, 0, 0, 0, 83, 0, 0, 0, 0, 47, 22, 152
"c:\xampp\htdocs\restaurants_php\server\config\filesystems.php", "PHP", 0, 0, 0, 0, 32, 0, 0, 0, 0, 32, 13, 77
"c:\xampp\htdocs\restaurants_php\server\config\hashing.php", "PHP", 0, 0, 0, 0, 12, 0, 0, 0, 0, 32, 9, 53
"c:\xampp\htdocs\restaurants_php\server\config\logging.php", "PHP", 0, 0, 0, 0, 79, 0, 0, 0, 0, 34, 19, 132
"c:\xampp\htdocs\restaurants_php\server\config\mail.php", "PHP", 0, 0, 0, 0, 54, 0, 0, 0, 0, 53, 19, 126
"c:\xampp\htdocs\restaurants_php\server\config\queue.php", "PHP", 0, 0, 0, 0, 51, 0, 0, 0, 0, 42, 17, 110
"c:\xampp\htdocs\restaurants_php\server\config\sanctum.php", "PHP", 0, 0, 0, 0, 15, 0, 0, 0, 0, 41, 12, 68
"c:\xampp\htdocs\restaurants_php\server\config\services.php", "PHP", 0, 0, 0, 0, 17, 0, 0, 0, 0, 11, 7, 35
"c:\xampp\htdocs\restaurants_php\server\config\session.php", "PHP", 0, 0, 0, 0, 22, 0, 0, 0, 0, 147, 33, 202
"c:\xampp\htdocs\restaurants_php\server\config\view.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 0, 20, 7, 37
