"filename", "language", "JavaScript", "JSON", "Markdown", "JavaScript JSX", "XML", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\FormDialog\FormDialogCategory.jsx", "JavaScript JSX", 0, 0, 0, 69, 0, 0, 0, 0, 7, 76
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\FormDialog\FormDialogCustomer.jsx", "JavaScript JSX", 0, 0, 0, 76, 0, 0, 0, 0, 7, 83
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\FormDialog\FormDialogDishes.jsx", "JavaScript JSX", 0, 0, 0, 123, 0, 0, 0, 23, 10, 156
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\FormDialog\FormDialogEmployee.jsx", "JavaScript JSX", 0, 0, 0, 104, 0, 0, 0, 0, 7, 111
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\color-utils\ColorMultiPicker.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 3, 5, 44
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\color-utils\ColorPreview.jsx", "JavaScript JSX", 0, 0, 0, 31, 0, 0, 0, 2, 7, 40
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\color-utils\ColorSinglePicker.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 0, 3, 6, 38
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\color-utils\Icon.jsx", "JavaScript JSX", 0, 0, 0, 68, 0, 0, 0, 3, 7, 78
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\color-utils\index.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\iconify\Iconify.jsx", "JavaScript JSX", 0, 0, 0, 13, 0, 0, 0, 3, 5, 21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\iconify\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\label\Label.jsx", "JavaScript JSX", 0, 0, 0, 40, 0, 0, 0, 3, 9, 52
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\label\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\label\styles.jsx", "JavaScript JSX", 0, 0, 0, 58, 0, 0, 0, 7, 9, 74
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\logo\Logo.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 0, 1, 6, 42
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\logo\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\nav-section\NavSection.jsx", "JavaScript JSX", 0, 0, 0, 41, 0, 0, 0, 4, 10, 55
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\nav-section\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\nav-section\styles.jsx", "JavaScript JSX", 0, 0, 0, 18, 0, 0, 0, 2, 4, 24
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\scroll-to-top\ScrollToTop.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 1, 5, 15
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\scroll-to-top\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\scrollbar\Scrollbar.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 3, 8, 38
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\scrollbar\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\scrollbar\styles.jsx", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 2, 4, 33
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\svg-color\SvgColor.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 0, 2, 5, 32
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Components\User\svg-color\index.jsx", "JavaScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 117, 0, 0, 0, 2, 22, 141
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\CategoryContext.jsx", "JavaScript JSX", 0, 0, 0, 63, 0, 0, 0, 10, 13, 86
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\Contexts\CommonContext.jsx", "JavaScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 7, 26
