"filename", "language", "JSON", "JavaScript", "Markdown", "JavaScript JSX", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\AdminAuthController.mjs", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 0, 17, 131
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\AuthController.mjs", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 0, 21, 172
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\CartsController.mjs", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 12, 53
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\CategorysController.mjs", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\DishesController.mjs", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 10, 59
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\Employees.mjs", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 9, 111
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\controllers\OrdersController.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Carts.mjs", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Categorys.mjs", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Dishes.mjs", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Employees.mjs", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 0, 10, 137
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Orders.mjs", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Roles.mjs", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\app\models\Users.mjs", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 0, 10, 130
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\config\cloudinary\index.mjs", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\config\database\index.mjs", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\index.mjs", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 5, 10, 42
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\middleware\auth.mjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 3, 5, 29
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\middleware\authorizeRoles.mjs", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\adminAuthRouter.mjs", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\authRouter.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\cartsRouter.mjs", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\categorysRouter.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\dishesRouter.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\employeesRouter.mjs", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\index.mjs", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\21H1 HNQA\Documents\mern_web\restaurant\server\src\routes\ordersRouter.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 10741, 1057, 7, 427, 1, 111, 13, 11, 274, 12642
