"filename", "language", "JavaScript", "JavaScript JSX", "XML", "JSON", "comment", "blank", "total"
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartSelect.jsx", "JavaScript JSX", 0, 16, 0, 0, 3, 3, 22
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartSummary.jsx", "JavaScript JSX", 0, 123, 0, 0, 3, 7, 133
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartTable.jsx", "JavaScript JSX", 0, 91, 0, 0, 3, 6, 100
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartSelect\CartTableItem.jsx", "JavaScript JSX", 0, 226, 0, 0, 3, 11, 240
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\CartStepper.jsx", "JavaScript JSX", 0, 142, 0, 0, 23, 16, 181
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\cart\index.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 2, 3
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\ProductCard.jsx", "JavaScript JSX", 0, -3, 0, 0, -1, 0, -4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\productdetail\ProductDescription.jsx", "JavaScript JSX", 0, 4, 0, 0, -2, 2, 4
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\@dashboard\products\productdetail\ProductInfo.jsx", "JavaScript JSX", 0, 13, 0, 0, 5, 0, 18
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\about\Banner.jsx", "JavaScript JSX", 0, 83, 0, 0, 2, 5, 90
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\about\WhatIs.jsx", "JavaScript JSX", 0, 102, 0, 0, 2, 5, 109
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\about\index.jsx", "JavaScript JSX", 0, 3, 0, 0, 0, 2, 5
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\about\slider\Slider.jsx", "JavaScript JSX", 0, 36, 0, 0, 4, 4, 44
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\about\slider\SliderItem.jsx", "JavaScript JSX", 0, 83, 0, 0, 3, 6, 92
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\about\slider\sliderConfig.jsx", "JavaScript JSX", 0, 75, 0, 0, 0, 1, 76
"c:\Users\21H1 HNQA\Documents\mern_web\restaurants\client\src\section\admin\product\ProductFormDetail.jsx", "JavaScript JSX", 0, 63, 0, 0, 3, 5, 71
